Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0119954076104694,-6.30253556549443E-05,0.061298696891405,0,0,0,1.82920369100274,0.0225456696225423,-1.84020714024046E-05,-0.00187225282049763,0.0465437023707633,5.4063546445361E-06,0.0590771369694188,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/base_link.STL,,assem_底盘框架-1;temp底盘-1,BaseFrame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF2_Link,0.000177066941838055,0.00238059348160047,3.04718962471084E-06,0,0,0,0.193947350268171,0.00020503259875413,6.75864332395974E-07,-3.68818359075002E-07,0.000299541738357316,-1.72473812530403E-07,0.000151339897550825,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/LF2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/LF2_Link.STL,,A1定子-7;3mm碳板-轮组-摇杆电机固定件-2;3mm碳板-轮组-摇杆电机加强件-2;铝6061-轮组-上支撑块-2;铝6061-轮组-下支撑块-2,LF2Frame,LF2Shaft,LF2_Joint,continuous,0.194999999999995,0.138499999999992,0.052500000000003,0,0,0,base_link,0,0,1,,,,,,,,,,,,
LF1_Link,-0.0318468820872356,0.0302764822704568,0.000147529294126453,0,0,0,0.291795418937575,0.000337467149402487,0.000152358661677688,1.42010516657995E-06,0.000460807932668524,1.79133753723983E-08,0.000506700151713982,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/LF1_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/LF1_Link.STL,,A1转子-7;3mm碳板-轮组-边距连杆-2;铝6061-轮组-驱动电机连接件-2;A1定子-2,LF1Frame,LF1Shaft,LF1_Joint,continuous,0,0.00675000000000026,0,0,0,0,LF2_Link,0,-1,0,,,,,,,,,,,,
LF0_Link,0.000239426478726323,0.000570289922476541,5.29985645396913E-05,0,0,0,2.09829748118105,0.00938753913695465,2.87272138380677E-07,7.34561507713243E-06,0.0178557390232477,6.35347159765153E-08,0.00936044451327353,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/LF0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/LF0_Link.STL,,10寸小米轮胎-5;轮毂-4,LF0Frame,LF0Shaft,LF0_Joint,continuous,-0.0500000000000006,0.0651499999999992,0,0,0,0,LF1_Link,0,-1,0,,,,,,,,,,,,
RF2_Link,0.000177066941837833,-0.00238059348159969,3.04718962654271E-06,0,0,0,0.193947350268172,0.000205032598754135,-6.75864332395546E-07,-3.68818359075823E-07,0.000299541738357322,1.72473812528975E-07,0.000151339897550824,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/RF2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/RF2_Link.STL,,A1定子-6;3mm碳板-轮组-摇杆电机固定件-1;3mm碳板-轮组-摇杆电机加强件-1;铝6061-轮组-下支撑块-1;铝6061-轮组-上支撑块-1,RF2Frame,RF2Shaft,RF2_Joint,continuous,0.194999999999998,-0.138500000000007,0.0524999999999921,0,0,0,base_link,0,0,1,,,,,,,,,,,,
RF1_Link,-0.0319690993561761,-0.0302764822704572,0.00014752929613715,0,0,0,0.291795418937576,0.00033750699567887,-0.000152343821751643,1.8504488511453E-07,0.00046209834303011,-1.79133657870878E-08,0.000507950715799196,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/RF1_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/RF1_Link.STL,,A1转子-6;3mm碳板-轮组-边距连杆-1;铝6061-轮组-驱动电机连接件-1;A1定子-1,RF1Frame,RF1Shaft,RF1_Joint,continuous,0,-0.00674999999999853,0,0,0,0,RF2_Link,0,1,0,,,,,,,,,,,,
RF0_Link,0.000104421717959102,-0.000570289922476513,-0.000221874353472706,0,0,0,2.09829748118105,0.00936491509548454,-1.24865635649255E-07,-1.24528598441868E-05,0.0178557390269462,2.66271960673673E-07,0.0093830685584422,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/RF0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/RF0_Link.STL,,10寸小米轮胎-1;轮毂-1,RF0Frame,RF0Shaft,RF0_Joint,continuous,-0.049999999999999,-0.0651499999999996,0,0,0,0,RF1_Link,0,1,0,,,,,,,,,,,,
LB2_Link,0.000177066941837223,0.00238059348159969,3.0471896256129E-06,0,0,0,0.193947350268171,0.000205032598754128,6.75864332395181E-07,-3.68818359076586E-07,0.000299541738357316,-1.72473812524931E-07,0.000151339897550823,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/LB2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/LB2_Link.STL,,A1定子-8;3mm碳板-轮组-摇杆电机固定件-4;3mm碳板-轮组-摇杆电机加强件-4;铝6061-轮组-上支撑块-3;铝6061-轮组-下支撑块-3,LB2Frame,LB2Shaft,LB2_Joint,continuous,-0.195000000000005,0.138499999999994,0.052500000000003,0,0,0,base_link,0,0,1,,,,,,,,,,,,
LB1_Link,0.0320555200158374,0.0302764822704571,6.11086348523415E-05,0,0,0,0.291795418937576,0.000338709235668273,-0.000152333328339301,2.78210055809599E-07,0.000463010800947307,7.41996123234184E-09,0.000507660933726987,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/LB1_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/LB1_Link.STL,,A1转子-8;3mm碳板-轮组-边距连杆-3;铝6061-轮组-驱动电机连接件-3;A1定子-3,LB1Frame,LB1Shaft,LB1_Joint,continuous,0,0.00674999999999559,0,0,0,0,LB2_Link,0,-1,0,,,,,,,,,,,,
LB0_Link,-1.50281773816374E-05,0.00057028992247643,0.000244761190639209,0,0,0,2.09829748118105,0.00935884078197502,-1.79772069266924E-08,-2.81666660519736E-06,0.0178557390232477,2.93664369204658E-07,0.00938914286825317,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/LB0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/LB0_Link.STL,,10寸小米轮胎-4;轮毂-3,LB0Frame,LB0Shaft,LB0_Joint,continuous,0.0499999999999848,0.0651500000000003,0,0,0,0,LB1_Link,0,-1,0,,,,,,,,,,,,
RB2_Link,0.000177066941838055,-0.00238059348160075,3.04718962634842E-06,0,0,0,0.193947350268172,0.000205032598754131,-6.75864332395567E-07,-3.68818359076196E-07,0.000299541738357316,1.72473812528444E-07,0.000151339897550825,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/RB2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/RB2_Link.STL,,A1定子-5;3mm碳板-轮组-摇杆电机加强件-5;3mm碳板-轮组-摇杆电机固定件-5;铝6061-轮组-上支撑块-4;铝6061-轮组-下支撑块-4,RB2Frame,RB2Shaft,RB2_Joint,continuous,-0.195000000000003,-0.138500000000004,0.0524999999999989,0,0,0,base_link,0,0,1,,,,,,,,,,,,
RB1_Link,0.0319690993561799,-0.0302764822704568,0.000147529295422125,0,0,0,0.291795418937576,0.000337460123428899,0.000152343821751641,-1.38172631351558E-07,0.000462098343030115,-1.79133691940941E-08,0.000507997588049165,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/RB1_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/RB1_Link.STL,,A1转子-5;3mm碳板-轮组-边距连杆-4;铝6061-轮组-驱动电机连接件-4;A1定子-4,RB1Frame,RB1Shaft,RB1_Joint,continuous,0,-0.0067500000000052,0,0,0,0,RB2_Link,0,1,0,,,,,,,,,,,,
RB0_Link,0.000197003380173144,-0.000570289922476375,-0.000146025870169805,0,0,0,2.09829748118105,0.00937756355724757,-2.3639378475433E-07,-1.4991012258464E-05,0.0178557390232476,1.75156844678005E-07,0.00937042009298058,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/RB0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://mobile_platform_gen3_wide_wheel_urdf/meshes/RB0_Link.STL,,10寸小米轮胎-3;轮毂-2,RB0Frame,RB0Shaft,RB0_Joint,continuous,0.0500000000000009,-0.0651499999999994,0,0,0,0,RB1_Link,0,1,0,,,,,,,,,,,,
